,index,event_id,date_of_event,household_id,person_id,event_type_id,event_counter,event_score,date_of_previous_event,created_by,timestamp_created,is_void,sync_id
83,83,11a06b0b-8135-49f6-9882-bd0b5b1f304c,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1035969, , , , , , , ,75ec2352-6e2c-48d3-af3a-7af92f30fae6
84,84,c6a5cb70-4bd3-4f90-88a5-8397683517f6,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,3369430, , , , , , , ,d8572d20-aaa9-4d6e-b0bc-8ba3e29a281a
85,85,aeb4866c-90eb-4e44-96e9-1794dac3bb0e,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,3369430, , , , , , , ,ce0d65c4-f162-40e7-a6a1-ec825626dd4e
86,86,f784d0da-1a1f-4acc-b5fd-920bc89d4f07,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,3369430, , , , , , , ,db9aa5bc-431b-48df-8362-9748a87106c6
87,87,8e376f84-ba2a-42e1-a814-d9c263fb05c1,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1044308, , , , , , , ,3dc44066-6908-494a-87e2-caa724d8900d
88,88,7dba6a87-60fe-4e32-9da6-f359fa553cfd,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1035969, , , , , , , ,d454de0c-07dd-4dbf-ab72-964e0f498203
89,89,94ffc9bb-d200-499a-8c39-0a46399a43b7,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,3369430, , , , , , , ,f8cedc89-6522-4770-9c8e-4cf92af4b4eb
90,90,c832a5d2-fce9-43c8-a329-03fa9c052a5b,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1044308, , , , , , , ,536ed3a4-662a-4867-a3d6-eca26002edd0
91,91,3fcdbe4e-a86e-422e-95c6-c93bb03bb435,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1044308, , , , , , , ,b999eb11-259c-4dbc-bc83-d540b21ab866
92,92,6717a7ce-2c94-4e1d-9219-167ed6e74b8c,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,3369430, , , , , , , ,b3084b06-47e4-4934-ae4c-30444ac63e9a
93,93,2e02260b-1efd-41ab-ac01-4f5a7b3fb672,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1044308, , , , , , , ,3cce1e23-2e33-4a4d-97c6-e60a24f5d8ce
94,94,b400ce6a-3d02-45f1-aa96-e1e9fffd2179,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,3369430, , , , , , , ,0675d46d-91d9-4e22-84a8-f748f497e6a1
95,95,1029b7c0-2710-48a6-a218-ce88416b09ad,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1035969, , , , , , , ,a379a9c5-bed7-4a65-953c-a8d6a5352972
96,96,85325629-84a9-465f-824b-fac9381345de,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1044308, , , , , , , ,98c9823c-fcaf-4c80-85d5-2a8ac698ae1e
97,97,55c650d2-b4de-4477-9b89-c8e51f986be2,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1035969, , , , , , , ,0a008a37-0eed-4ebe-86d4-9806dee0c045
98,98,df7648d0-12c3-453a-89b9-01adabd1b2a1,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,3369430, , , , , , , ,196772cb-1021-49f4-bfa5-fe082ae05262
